sample_index,sample_id,label_index,class_name,step,frame_index,patch_row,patch_col,R,G,B,ON_R,ON_G,ON_B,OFF_R,OFF_G,OFF_B
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,1,0,0,0,0.8039829,0.7616422,0.7824755,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,2,1,0,1,0.7851103,0.7435049,0.7630515,0.0000000,0.0000000,0.0000000,0.0239914,0.0266272,0.0195428
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,3,2,0,2,0.7785540,0.7317402,0.7571079,0.0000000,0.0000000,0.0000000,0.0084702,0.0176218,0.0060798
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,4,3,0,3,0.7534314,0.7046569,0.7311887,0.0000000,0.0000000,0.0000000,0.0331271,0.0416641,0.0270804
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,5,4,0,4,0.7363358,0.6854167,0.7128677,0.0000000,0.0000000,0.0000000,0.0231814,0.0305848,0.0197283
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,6,5,0,5,0.7237746,0.6735294,0.6981618,0.0000000,0.0000000,0.0000000,0.0173789,0.0193292,0.0162061
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,7,6,0,6,0.7072304,0.6582108,0.6797181,0.0000000,0.0000000,0.0000000,0.0233549,0.0254176,0.0208142
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,8,7,0,7,0.7023897,0.6531250,0.6745711,0.0000000,0.0000000,0.0000000,0.0069371,0.0085699,0.0059098
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,9,8,1,7,0.7044731,0.6456496,0.6654412,0.0030216,0.0000000,0.0000000,0.0000000,0.0127186,0.0105945
0,train/Blueberry___healthy/00fee259-67b7-4dd7-8b36-12503bbdba14___RS_HL 2681.JPG,0,Blueberry___healthy,10,9,1,6,0.7141544,0.6577819,0.6830882,0.0139247,0.0208228,0.0205354,0.0000000,0.0000000,0.0000000
