phase,split,true_index,true_class,predicted_index,predicted_class,count,row_fraction
ideal,selection,0,Squash___Powdery_mildew,0,Squash___Powdery_mildew,219,0.9954545454545455
ideal,selection,0,Squash___Powdery_mildew,1,Corn_(maize)___Common_rust_,0,0.0
ideal,selection,0,Squash___Powdery_mildew,2,Orange___Haunglongbing_(Citrus_greening),0,0.0
ideal,selection,0,Squash___Powdery_mildew,3,Grape___healthy,0,0.0
ideal,selection,0,Squash___Powdery_mildew,4,Apple___healthy,0,0.0
ideal,selection,0,Squash___Powdery_mildew,5,Peach___Bacterial_spot,0,0.0
ideal,selection,0,Squash___Powdery_mildew,6,Apple___Cedar_apple_rust,1,0.004545454545454545
ideal,selection,0,Squash___Powdery_mildew,7,Cherry_(including_sour)___healthy,0,0.0
ideal,selection,0,Squash___Powdery_mildew,8,Soybean___healthy,0,0.0
ideal,selection,0,Squash___Powdery_mildew,9,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,0,Squash___Powdery_mildew,2,0.013986013986013986
ideal,selection,1,Corn_(maize)___Common_rust_,1,Corn_(maize)___Common_rust_,140,0.9790209790209791
ideal,selection,1,Corn_(maize)___Common_rust_,2,Orange___Haunglongbing_(Citrus_greening),1,0.006993006993006993
ideal,selection,1,Corn_(maize)___Common_rust_,3,Grape___healthy,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,4,Apple___healthy,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,5,Peach___Bacterial_spot,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,6,Apple___Cedar_apple_rust,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,7,Cherry_(including_sour)___healthy,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,8,Soybean___healthy,0,0.0
ideal,selection,1,Corn_(maize)___Common_rust_,9,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0.0
ideal,selection,2,Orange___Haunglongbing_(Citrus_greening),0,Squash___Powdery_mildew,0,0.0
ideal,selection,2,Orange___Haunglongbing_(Citrus_greening),1,Corn_(maize)___Common_rust_,0,0.0
ideal,selection,2,Orange___Haunglongbing_(Citrus_greening),2,Orange___Haunglongbing_(Citrus_greening),661,1.0
ideal,selection,2,Orange___Haunglongbing_(Citrus_greening),3,Grape___healthy,0,0.0
