phase,split,class_name,correct,index,precision,recall,samples
ideal,selection,Squash___Powdery_mildew,219,0,0.9864864864864865,0.9954545454545455,220
ideal,selection,Corn_(maize)___Common_rust_,140,1,1.0,0.9790209790209791,143
ideal,selection,Orange___Haunglongbing_(Citrus_greening),661,2,0.9734904270986745,1.0,661
ideal,selection,Grape___healthy,51,3,0.9622641509433962,1.0,51
ideal,selection,Apple___healthy,189,4,0.9264705882352942,0.9593908629441624,197
ideal,selection,Peach___Bacterial_spot,255,5,0.99609375,0.9239130434782609,276
ideal,selection,Apple___Cedar_apple_rust,32,6,0.8,0.9696969696969697,33
ideal,selection,Cherry_(including_sour)___healthy,94,7,0.9690721649484536,0.912621359223301,103
ideal,selection,Soybean___healthy,599,8,0.9966722129783694,0.9803600654664485,611
ideal,selection,Tomato___Tomato_Yellow_Leaf_Curl_Virus,640,9,0.9907120743034056,0.995334370139969,643
ideal,final_test,Squash___Powdery_mildew,367,0,0.9812834224598931,1.0,367
ideal,final_test,Corn_(maize)___Common_rust_,237,1,1.0,0.9916317991631799,239
ideal,final_test,Orange___Haunglongbing_(Citrus_greening),1101,2,0.9734748010610079,0.9990925589836661,1102
ideal,final_test,Grape___healthy,78,3,0.8666666666666667,0.9285714285714286,84
ideal,final_test,Apple___healthy,315,4,0.9264705882352942,0.9574468085106383,329
ideal,final_test,Peach___Bacterial_spot,431,5,0.9976851851851852,0.9389978213507625,459
ideal,final_test,Apple___Cedar_apple_rust,50,6,0.746268656716418,0.9090909090909091,55
ideal,final_test,Cherry_(including_sour)___healthy,157,7,0.9631901840490797,0.9235294117647059,170
ideal,final_test,Soybean___healthy,978,8,0.9918864097363083,0.9607072691552063,1018
ideal,final_test,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1066,9,0.9925512104283054,0.9953314659197012,1071
hw_finetune,selection,Squash___Powdery_mildew,219,0,0.8358778625954199,0.9954545454545455,220
hw_finetune,selection,Corn_(maize)___Common_rust_,140,1,1.0,0.9790209790209791,143
hw_finetune,selection,Orange___Haunglongbing_(Citrus_greening),656,2,0.9398280802292264,0.9924357034795764,661
hw_finetune,selection,Grape___healthy,48,3,0.9411764705882353,0.9411764705882353,51
hw_finetune,selection,Apple___healthy,190,4,0.8333333333333334,0.9644670050761421,197
hw_finetune,selection,Peach___Bacterial_spot,230,5,0.9956709956709957,0.8333333333333334,276
hw_finetune,selection,Apple___Cedar_apple_rust,30,6,0.6,0.9090909090909091,33
hw_finetune,selection,Cherry_(including_sour)___healthy,99,7,0.853448275862069,0.9611650485436893,103
hw_finetune,selection,Soybean___healthy,570,8,0.9895833333333334,0.9328968903436988,611
hw_finetune,selection,Tomato___Tomato_Yellow_Leaf_Curl_Virus,586,9,1.0,0.911353032659409,643
hw_finetune,final_test,Squash___Powdery_mildew,367,0,0.8119469026548672,1.0,367
hw_finetune,final_test,Corn_(maize)___Common_rust_,226,1,1.0,0.9456066945606695,239
hw_finetune,final_test,Orange___Haunglongbing_(Citrus_greening),1098,2,0.9424892703862661,0.9963702359346642,1102
hw_finetune,final_test,Grape___healthy,70,3,0.9459459459459459,0.8333333333333334,84
hw_finetune,final_test,Apple___healthy,317,4,0.8320209973753281,0.9635258358662614,329
hw_finetune,final_test,Peach___Bacterial_spot,367,5,1.0,0.7995642701525054,459
hw_finetune,final_test,Apple___Cedar_apple_rust,46,6,0.5679012345679012,0.8363636363636363,55
hw_finetune,final_test,Cherry_(including_sour)___healthy,152,7,0.8735632183908046,0.8941176470588236,170
hw_finetune,final_test,Soybean___healthy,944,8,0.9772256728778468,0.9273084479371316,1018
hw_finetune,final_test,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1006,9,0.998015873015873,0.9393090569561158,1071
