phase,split,time_step,accuracy
ideal,selection,1,0.36078965282505104
ideal,selection,2,0.476855003403676
ideal,selection,3,0.7103471749489448
ideal,selection,4,0.8505786249149081
ideal,selection,5,0.9431586113002042
ideal,selection,6,0.9686861810755616
ideal,selection,7,0.9751531654186522
ideal,selection,8,0.9802586793737236
ideal,final_test,1,0.3698406211687781
ideal,final_test,2,0.4836534532080098
ideal,final_test,3,0.7167960768287699
ideal,final_test,4,0.8506334286881896
ideal,final_test,5,0.9313445034736412
ideal,final_test,6,0.9619942787086228
ideal,final_test,7,0.9724152022885165
ideal,final_test,8,0.976706170821414
hw_finetune,selection,1,0.19366916269571136
hw_finetune,selection,2,0.3515997277059224
hw_finetune,selection,3,0.5605854322668482
hw_finetune,selection,4,0.7226004084411164
hw_finetune,selection,5,0.8403675970047652
hw_finetune,selection,6,0.908781484002723
hw_finetune,selection,7,0.9309053778080327
hw_finetune,selection,8,0.94213750850919
hw_finetune,final_test,1,0.1779730281977932
hw_finetune,final_test,2,0.3469554556599918
hw_finetune,final_test,3,0.5490396403759705
hw_finetune,final_test,4,0.7059664895790764
hw_finetune,final_test,5,0.8271352676747037
hw_finetune,final_test,6,0.8921127911728647
hw_finetune,final_test,7,0.9223539027380466
hw_finetune,final_test,8,0.9384961176951369
