variant,true_label,predicted_label,count,row_fraction
historical,0,0,81,0.9
historical,0,1,6,0.06666666666666667
historical,0,2,0,0.0
historical,0,3,0,0.0
historical,0,4,1,0.011111111111111112
historical,0,5,2,0.022222222222222223
historical,0,6,0,0.0
historical,0,7,0,0.0
historical,0,8,0,0.0
historical,0,9,0,0.0
historical,1,0,1,0.011111111111111112
historical,1,1,85,0.9444444444444444
historical,1,2,0,0.0
historical,1,3,0,0.0
historical,1,4,2,0.022222222222222223
historical,1,5,2,0.022222222222222223
historical,1,6,0,0.0
historical,1,7,0,0.0
historical,1,8,0,0.0
historical,1,9,0,0.0
historical,2,0,0,0.0
historical,2,1,0,0.0
historical,2,2,89,0.9888888888888889
historical,2,3,1,0.011111111111111112
historical,2,4,0,0.0
historical,2,5,0,0.0
historical,2,6,0,0.0
historical,2,7,0,0.0
historical,2,8,0,0.0
historical,2,9,0,0.0
historical,3,0,0,0.0
historical,3,1,0,0.0
historical,3,2,7,0.07777777777777778
historical,3,3,80,0.8888888888888888
historical,3,4,0,0.0
historical,3,5,3,0.03333333333333333
historical,3,6,0,0.0
historical,3,7,0,0.0
historical,3,8,0,0.0
historical,3,9,0,0.0
historical,4,0,0,0.0
historical,4,1,1,0.011111111111111112
historical,4,2,0,0.0
historical,4,3,1,0.011111111111111112
historical,4,4,82,0.9111111111111111
historical,4,5,5,0.05555555555555555
historical,4,6,1,0.011111111111111112
historical,4,7,0,0.0
historical,4,8,0,0.0
historical,4,9,0,0.0
historical,5,0,0,0.0
historical,5,1,0,0.0
historical,5,2,2,0.022222222222222223
historical,5,3,1,0.011111111111111112
historical,5,4,2,0.022222222222222223
historical,5,5,70,0.7777777777777778
historical,5,6,6,0.06666666666666667
historical,5,7,1,0.011111111111111112
historical,5,8,5,0.05555555555555555
historical,5,9,3,0.03333333333333333
historical,6,0,0,0.0
historical,6,1,0,0.0
historical,6,2,1,0.011111111111111112
historical,6,3,0,0.0
historical,6,4,0,0.0
historical,6,5,0,0.0
historical,6,6,79,0.8777777777777778
historical,6,7,5,0.05555555555555555
historical,6,8,2,0.022222222222222223
historical,6,9,3,0.03333333333333333
historical,7,0,0,0.0
historical,7,1,0,0.0
historical,7,2,0,0.0
historical,7,3,0,0.0
historical,7,4,0,0.0
historical,7,5,0,0.0
historical,7,6,0,0.0
historical,7,7,90,1.0
historical,7,8,0,0.0
historical,7,9,0,0.0
historical,8,0,0,0.0
historical,8,1,0,0.0
historical,8,2,0,0.0
historical,8,3,5,0.05555555555555555
historical,8,4,1,0.011111111111111112
historical,8,5,0,0.0
historical,8,6,0,0.0
historical,8,7,3,0.03333333333333333
historical,8,8,76,0.8444444444444444
historical,8,9,5,0.05555555555555555
historical,9,0,0,0.0
historical,9,1,0,0.0
historical,9,2,0,0.0
historical,9,3,0,0.0
historical,9,4,1,0.011111111111111112
historical,9,5,0,0.0
historical,9,6,0,0.0
historical,9,7,3,0.03333333333333333
historical,9,8,4,0.044444444444444446
historical,9,9,82,0.9111111111111111
nested,0,0,76,0.8444444444444444
nested,0,1,5,0.05555555555555555
nested,0,2,0,0.0
nested,0,3,0,0.0
nested,0,4,2,0.022222222222222223
nested,0,5,6,0.06666666666666667
nested,0,6,1,0.011111111111111112
nested,0,7,0,0.0
nested,0,8,0,0.0
nested,0,9,0,0.0
nested,1,0,4,0.044444444444444446
nested,1,1,74,0.8222222222222222
nested,1,2,0,0.0
nested,1,3,0,0.0
nested,1,4,2,0.022222222222222223
nested,1,5,2,0.022222222222222223
nested,1,6,0,0.0
nested,1,7,4,0.044444444444444446
nested,1,8,2,0.022222222222222223
nested,1,9,2,0.022222222222222223
nested,2,0,0,0.0
nested,2,1,0,0.0
nested,2,2,89,0.9888888888888889
nested,2,3,0,0.0
nested,2,4,0,0.0
nested,2,5,0,0.0
nested,2,6,0,0.0
nested,2,7,0,0.0
nested,2,8,0,0.0
nested,2,9,1,0.011111111111111112
nested,3,0,0,0.0
nested,3,1,0,0.0
nested,3,2,8,0.08888888888888889
nested,3,3,74,0.8222222222222222
nested,3,4,0,0.0
nested,3,5,1,0.011111111111111112
nested,3,6,0,0.0
nested,3,7,0,0.0
nested,3,8,3,0.03333333333333333
nested,3,9,4,0.044444444444444446
nested,4,0,0,0.0
nested,4,1,0,0.0
nested,4,2,0,0.0
nested,4,3,0,0.0
nested,4,4,79,0.8777777777777778
nested,4,5,7,0.07777777777777778
nested,4,6,1,0.011111111111111112
nested,4,7,1,0.011111111111111112
nested,4,8,0,0.0
nested,4,9,2,0.022222222222222223
nested,5,0,4,0.044444444444444446
nested,5,1,0,0.0
nested,5,2,3,0.03333333333333333
nested,5,3,1,0.011111111111111112
nested,5,4,4,0.044444444444444446
nested,5,5,51,0.5666666666666667
nested,5,6,4,0.044444444444444446
nested,5,7,4,0.044444444444444446
nested,5,8,16,0.17777777777777778
nested,5,9,3,0.03333333333333333
nested,6,0,3,0.03333333333333333
nested,6,1,1,0.011111111111111112
nested,6,2,0,0.0
nested,6,3,0,0.0
nested,6,4,1,0.011111111111111112
nested,6,5,1,0.011111111111111112
nested,6,6,72,0.8
nested,6,7,2,0.022222222222222223
nested,6,8,7,0.07777777777777778
nested,6,9,3,0.03333333333333333
nested,7,0,0,0.0
nested,7,1,1,0.011111111111111112
nested,7,2,0,0.0
nested,7,3,3,0.03333333333333333
nested,7,4,0,0.0
nested,7,5,0,0.0
nested,7,6,0,0.0
nested,7,7,86,0.9555555555555556
nested,7,8,0,0.0
nested,7,9,0,0.0
nested,8,0,3,0.03333333333333333
nested,8,1,0,0.0
nested,8,2,0,0.0
nested,8,3,9,0.1
nested,8,4,0,0.0
nested,8,5,9,0.1
nested,8,6,2,0.022222222222222223
nested,8,7,0,0.0
nested,8,8,66,0.7333333333333333
nested,8,9,1,0.011111111111111112
nested,9,0,0,0.0
nested,9,1,0,0.0
nested,9,2,0,0.0
nested,9,3,0,0.0
nested,9,4,0,0.0
nested,9,5,2,0.022222222222222223
nested,9,6,0,0.0
nested,9,7,3,0.03333333333333333
nested,9,8,1,0.011111111111111112
nested,9,9,84,0.9333333333333333
