fold,members,weights,inner_accuracy,inner_macro_f1
seed20260909_fold1,RandomForest_05,[1.0],0.8125,0.8089126190315566
seed20260909_fold2,ExtraTrees_05,[1.0],0.825,0.8226454777575116
seed20260909_fold3,RandomForest_05,[1.0],0.8,0.7931623526760305
seed20260909_fold4,RandomForest_05,[1.0],0.7875,0.7857464522611673
seed20260909_fold5,RandomForest_05,[1.0],0.8041666666666667,0.8014646739432404
seed20260910_fold1,RandomForest_05,[1.0],0.8416666666666667,0.8402093921972756
seed20260910_fold2,RandomForest_05,[1.0],0.8041666666666667,0.8014256415693822
seed20260910_fold3,RandomForest_05,[1.0],0.8041666666666667,0.8012127175752697
seed20260910_fold4,RandomForest_05,[1.0],0.8083333333333333,0.80127472478419
seed20260910_fold5,RandomForest_05,[1.0],0.7791666666666667,0.7726748672529318
seed20260911_fold1,ExtraTrees_05,[1.0],0.7916666666666666,0.7879064086362223
seed20260911_fold2,ExtraTrees_05,[1.0],0.8083333333333333,0.8048136819778445
seed20260911_fold3,RandomForest_05,[1.0],0.8125,0.8116982606165069
seed20260911_fold4,Ridge_00,[1.0],0.8041666666666667,0.8035560143896514
seed20260911_fold5,RandomForest_05,[1.0],0.8041666666666667,0.800065082770697
