variant,label,class_name,unique_samples,prediction_count,correct,recall,precision
historical,0,Blueberry___healthy,30,90,81,0.9,0.9878048780487805
historical,1,Cherry_(including_sour)___healthy,30,90,85,0.9444444444444444,0.9239130434782609
historical,2,Corn_(maize)___Common_rust_,30,90,89,0.9888888888888889,0.898989898989899
historical,3,Corn_(maize)___healthy,30,90,80,0.8888888888888888,0.9090909090909091
historical,4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,82,0.9111111111111111,0.9213483146067416
historical,5,Orange___Haunglongbing_(Citrus_greening),30,90,70,0.7777777777777778,0.8536585365853658
historical,6,Peach___healthy,30,90,79,0.8777777777777778,0.9186046511627907
historical,7,Soybean___healthy,30,90,90,1.0,0.8823529411764706
historical,8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,76,0.8444444444444444,0.8735632183908046
historical,9,Tomato___healthy,30,90,82,0.9111111111111111,0.8817204301075269
nested,0,Blueberry___healthy,30,90,76,0.8444444444444444,0.8444444444444444
nested,1,Cherry_(including_sour)___healthy,30,90,74,0.8222222222222222,0.9135802469135802
nested,2,Corn_(maize)___Common_rust_,30,90,89,0.9888888888888889,0.89
nested,3,Corn_(maize)___healthy,30,90,74,0.8222222222222222,0.8505747126436781
nested,4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,79,0.8777777777777778,0.8977272727272727
nested,5,Orange___Haunglongbing_(Citrus_greening),30,90,51,0.5666666666666667,0.6455696202531646
nested,6,Peach___healthy,30,90,72,0.8,0.9
nested,7,Soybean___healthy,30,90,86,0.9555555555555556,0.86
nested,8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,66,0.7333333333333333,0.6947368421052632
nested,9,Tomato___healthy,30,90,84,0.9333333333333333,0.84
