stage,candidate,accuracy,configuration,seconds
1,dev_017,0.8583333333333333,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""compensated_distribution"", ""id"": ""dev_017"", ""pca"": 32}",0.7283673620004265
1,dev_020,0.85,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""compensated_distribution"", ""id"": ""dev_020"", ""pca"": 64}",1.1472331799996027
1,dev_034,0.85,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""multiscale"", ""id"": ""dev_034"", ""pca"": 64}",1.0747301199990034
1,dev_019,0.8458333333333333,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""compensated_distribution"", ""id"": ""dev_019"", ""pca"": 64}",0.6323186039990105
1,dev_018,0.8416666666666667,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""compensated_distribution"", ""id"": ""dev_018"", ""pca"": 32}",0.9605727439993643
1,dev_032,0.8416666666666667,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""multiscale"", ""id"": ""dev_032"", ""pca"": 32}",1.0369574340002146
1,dev_033,0.8375,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""multiscale"", ""id"": ""dev_033"", ""pca"": 64}",0.732449577000807
1,dev_031,0.8333333333333334,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""multiscale"", ""id"": ""dev_031"", ""pca"": 32}",0.8498085100000026
1,dev_015,0.8125,"{""C"": 10, ""family"": ""SVM"", ""feature"": ""compensated_distribution"", ""gamma"": ""scale"", ""id"": ""dev_015""}",0.7207642079993093
1,dev_016,0.8125,"{""C"": 100, ""family"": ""SVM"", ""feature"": ""compensated_distribution"", ""gamma"": ""scale"", ""id"": ""dev_016""}",0.7194849229999818
1,dev_038,0.8083333333333333,"{""family"": ""ET"", ""feature"": ""sequence"", ""id"": ""dev_038"", ""max_features"": 0.3, ""rho"": 0.94}",2.3462294709970593
1,dev_026,0.8041666666666667,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""mixed"", ""id"": ""dev_026"", ""pca"": 64}",0.7841103639984794
1,dev_013,0.7958333333333333,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""distribution"", ""id"": ""dev_013"", ""pca"": 64}",0.9437539339996874
1,dev_039,0.7958333333333333,"{""family"": ""RF"", ""feature"": ""sequence"", ""id"": ""dev_039"", ""max_features"": ""sqrt"", ""rho"": 0.98}",1.7371534640005848
1,dev_049,0.7958333333333333,"{""family"": ""RF"", ""feature"": ""multiscale"", ""id"": ""dev_049"", ""max_features"": ""sqrt""}",3.5399538759993447
1,dev_042,0.7916666666666666,"{""family"": ""ET"", ""feature"": ""sequence"", ""id"": ""dev_042"", ""max_features"": 0.3, ""rho"": 0.98}",2.3377450309999404
1,dev_012,0.7875,"{""alpha"": 0.1, ""family"": ""MLP"", ""feature"": ""distribution"", ""id"": ""dev_012"", ""pca"": 64}",0.7751207820001582
1,dev_027,0.7875,"{""alpha"": 1, ""family"": ""MLP"", ""feature"": ""mixed"", ""id"": ""dev_027"", ""pca"": 64}",1.1773917710015667
1,dev_044,0.7875,"{""family"": ""RF"", ""feature"": ""sequence"", ""id"": ""dev_044"", ""max_features"": 0.3, ""rho"": 1.0}",7.26198593799927
