fold,members,weights,inner_accuracy
seed20260909_fold1,dev_017+dev_020+dev_038+dev_039+dev_042+dev_044+dev_049+ref_026+ref_027+ref_036,"[0.08, 0.08, 0.12, 0.12, 0.12, 0.12, 0.12, 0.08, 0.08, 0.08]",0.8916666666666667
seed20260909_fold2,dev_035+dev_037+dev_043+dev_044+dev_046+ref_020+ref_026+ref_027,"[0.16, 0.16, 0.16, 0.16, 0.16, 0.06666666666666665, 0.06666666666666665, 0.06666666666666665]",0.9041666666666667
seed20260909_fold3,dev_039+ref_027,"[0.6, 0.4]",0.9
seed20260909_fold4,dev_040+ref_027,"[0.6, 0.4]",0.8958333333333334
seed20260909_fold5,dev_037+dev_038+dev_039+ref_027,"[0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.6]",0.8833333333333333
seed20260910_fold1,dev_042+dev_044+dev_049+ref_021+ref_026+ref_027,"[0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.06666666666666665, 0.06666666666666665, 0.06666666666666665]",0.9333333333333333
seed20260910_fold2,dev_039+dev_040+dev_042+ref_026,"[0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.4]",0.8791666666666667
seed20260910_fold3,dev_041+ref_020+ref_021+ref_026+ref_027+ref_036,"[0.6, 0.08, 0.08, 0.08, 0.08, 0.08]",0.9083333333333333
seed20260910_fold4,dev_039+ref_026,"[0.6, 0.4]",0.9125
seed20260910_fold5,dev_039+dev_042+dev_049+ref_027,"[0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.4]",0.8875
seed20260911_fold1,dev_035+dev_041+dev_049+ref_026,"[0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.19999999999999996]",0.8916666666666667
seed20260911_fold2,dev_020+dev_039+dev_041+dev_046+ref_020+ref_021+ref_026+ref_027,"[0.039999999999999994, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994]",0.9208333333333333
seed20260911_fold3,dev_018+dev_019+dev_020+dev_040+ref_027+ref_036,"[0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.8, 0.039999999999999994, 0.039999999999999994]",0.8833333333333333
seed20260911_fold4,dev_038+dev_041+dev_042+dev_049+dev_050+ref_026,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",0.9125
seed20260911_fold5,dev_039+ref_026,"[0.6, 0.4]",0.9125
