variant,label,class_name,unique_samples,prediction_count,correct,recall
historical,0,Blueberry___healthy,30,90,81,0.9
historical,1,Cherry_(including_sour)___healthy,30,90,85,0.9444444444444444
historical,2,Corn_(maize)___Common_rust_,30,90,89,0.9888888888888889
historical,3,Corn_(maize)___healthy,30,90,80,0.8888888888888888
historical,4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,82,0.9111111111111111
historical,5,Orange___Haunglongbing_(Citrus_greening),30,90,70,0.7777777777777778
historical,6,Peach___healthy,30,90,79,0.8777777777777778
historical,7,Soybean___healthy,30,90,90,1.0
historical,8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,76,0.8444444444444444
historical,9,Tomato___healthy,30,90,82,0.9111111111111111
previous,0,Blueberry___healthy,30,90,76,0.8444444444444444
previous,1,Cherry_(including_sour)___healthy,30,90,74,0.8222222222222222
previous,2,Corn_(maize)___Common_rust_,30,90,89,0.9888888888888889
previous,3,Corn_(maize)___healthy,30,90,74,0.8222222222222222
previous,4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,79,0.8777777777777778
previous,5,Orange___Haunglongbing_(Citrus_greening),30,90,51,0.5666666666666667
previous,6,Peach___healthy,30,90,72,0.8
previous,7,Soybean___healthy,30,90,86,0.9555555555555556
previous,8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,66,0.7333333333333333
previous,9,Tomato___healthy,30,90,84,0.9333333333333333
refined,0,Blueberry___healthy,30,90,78,0.8666666666666667
refined,1,Cherry_(including_sour)___healthy,30,90,86,0.9555555555555556
refined,2,Corn_(maize)___Common_rust_,30,90,88,0.9777777777777777
refined,3,Corn_(maize)___healthy,30,90,78,0.8666666666666667
refined,4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,80,0.8888888888888888
refined,5,Orange___Haunglongbing_(Citrus_greening),30,90,76,0.8444444444444444
refined,6,Peach___healthy,30,90,78,0.8666666666666667
refined,7,Soybean___healthy,30,90,90,1.0
refined,8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,77,0.8555555555555555
refined,9,Tomato___healthy,30,90,85,0.9444444444444444
