label,class_name,unique_samples,prediction_count,correct,recall
0,Blueberry___healthy,30,90,77,0.8555555555555555
1,Cherry_(including_sour)___healthy,30,90,87,0.9666666666666667
2,Corn_(maize)___Common_rust_,30,90,88,0.9777777777777777
3,Corn_(maize)___healthy,30,90,79,0.8777777777777778
4,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),30,90,81,0.9
5,Orange___Haunglongbing_(Citrus_greening),30,90,76,0.8444444444444444
6,Peach___healthy,30,90,79,0.8777777777777778
7,Soybean___healthy,30,90,90,1.0
8,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,90,76,0.8444444444444444
9,Tomato___healthy,30,90,85,0.9444444444444444
